Sample,Time,Line,Titre,Replicate,TCID,IU_mL,MNE,SE_MNE,SE_Percent,Fly_Line,Initial_V,IU_fly,log_IU_fly,log_MNE
1,0,Tet,50,1,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
2,0,Tet,50,2,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
3,0,Tet,50,3,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
4,0,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
5,0,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
6,0,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
7,6,Tet,50,1,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
8,6,Tet,50,2,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
9,6,Tet,50,3,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
10,6,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
11,6,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
12,6,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
13,10,Tet,50,1,3.5,43640,NA,NA,NA,Tet,50,2472.981919,7.813179956,NA
14,10,Tet,50,2,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
15,10,Tet,50,3,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
16,10,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
17,10,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
18,10,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
19,24,Tet,50,1,3.6,54940,0.082852019,0.00854,10.31,Tet,50,3113.327833,8.043447476,-2.490699166
20,24,Tet,50,2,4.1552,197300,0.082536552,0.00658,7.97,Tet,50,11180.55299,9.321931208,-2.494514029
21,24,Tet,50,3,3.75,77600,0.069296162,0.00947,13.67,Tet,50,4397.419728,8.388773222,-2.669365751
22,24,Wol,50,1,NA,NA,0.004895657,0,0,Wol,50,NA,NA,-5.319406712
23,24,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
24,24,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
25,34,Tet,50,1,5.6897,6754000,1.026871716,0.08185,7.97,Tet,50,382734.1861,12.855096,0.026517011
26,34,Tet,50,2,5.2941,2716000,5.46518695,0.69143,12.65,Tet,50,153909.6905,11.94412128,1.69839833
27,34,Tet,50,3,4.75,776000,1.02980759,0.06514,6.33,Tet,50,43974.19728,10.69135832,0.029371979
28,34,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
29,34,Wol,50,2,2.75,7760,0.005777016,0.00044,7.64,Wol,50,439.7419728,6.086188129,-5.153868045
30,34,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
31,48,Tet,50,1,5.7,6916000,9.060539047,0.34611,3.82,Tet,50,391914.3665,12.87879864,2.203928616
32,48,Tet,50,2,6,13800000,8.135501854,0.31078,3.82,Tet,50,782015.364,13.56962967,2.09623743
33,48,Tet,50,3,6,13800000,4.638451828,0.43749,9.43,Tet,50,782015.364,13.56962967,1.534380653
34,48,Wol,50,1,2.7,6916,0.030851477,0.00354,11.46,Wol,50,391.9143665,5.971043363,-3.478570646
35,48,Wol,50,2,2.75,7760,0.003860896,1.00E-04,2.47,Wol,50,439.7419728,6.086188129,-5.556855972
36,48,Wol,50,3,3.875,103500,0.08170828,0.01034,12.65,Wol,50,5865.11523,8.676777408,-2.504599933
37,58,Tet,50,1,6.4,34660000,15.57125442,1.24119,7.97,Tet,50,1964105.255,14.49054736,2.745426549
38,58,Tet,50,2,6.6,54940000,12.12217507,0.46307,3.82,Tet,50,3113327.833,14.95120275,2.495036426
39,58,Tet,50,3,7.25,245400000,17.0895784,2.03436,11.9,Tet,50,13906273.21,16.44785061,2.838468827
40,58,Wol,50,1,NA,NA,0.015957192,0.00186,11.64,Wol,50,NA,NA,-4.137845674
41,58,Wol,50,2,5.5,4364000,2.568733807,0.43634,16.99,Wol,50,247298.1919,12.41835014,0.943413095
42,58,Wol,50,3,2.75,7760,0.003939568,0.00047,11.9,Wol,50,439.7419728,6.086188129,-5.536684156
43,72,Tet,50,1,7.3636,318800000,32.52301563,0.80445,2.47,Tet,50,18065688.26,16.70952502,3.481948012
44,72,Tet,50,2,7.75,7.76E+08,52.40244984,2.00178,3.82,Tet,50,43974197.28,17.59911359,3.958953343
45,72,Tet,50,3,6.6,54940000,32.19061893,2.45937,7.64,Tet,50,3113327.833,14.95120275,3.471675073
