Sample,Time,Line,Titre,Replicate,TCID,IU_mL,MNE,SE_MNE,SE_Percent,Fly_Line,Initial_V,IU_fly,log_IU_fly,log_MNE,Wolbacia_batch,Wolbachia_sample_order,Repeat,Progress_manual,Check_Angelique,Sample_file,WOL_MNE,WOL_SE_MNE,WOL_SE_Percent,Take_off_rpl,Amplification_rpl,Second_Der_Max_rpl,Rep_Take_off_rpl,Std_dev_rpl,Tech_Rep_rpl,Take_off_WOL,Amplification_WOL,Second_Der_Max_WOL,Rep_Take_off_WOL,Std_dev_WOL,Tech_Rep_WOL,Filter_Reason,Quality_Control
47,72,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,NA,CHECK,"In progress, Completed, Incomplete, Unavailable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,178,Wol,50,2,NA,NA,21.93149597,1.99067,9.08,Wol,50,NA,NA,3.087923776,NA,NA,CHECK,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,240,Wol,50,2,NA,NA,4.02E-03,7.30E-04,18.15,Wol,50,NA,NA,-5.517659278,NA,NA,CHECK,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,360,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,NA,CHECK,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,384,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,NA,CHECK,Incomplete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,Pilot,NON-DETECT,Incomplete,NA,4_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv,1.051009659,0.08398,7.99,22.2,1.69,26.6,22.3,0.1,1,17.6,1.72,21.1,17.5,0.1,1,NA,PASS
4,0,Wol,50,1,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,Pilot,NON-DETECT,Incomplete,NA,4_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv,1.051009659,0.08398,7.99,22.4,1.67,27.1,22.3,0.1,2,17.4,1.7,21.6,17.5,0.1,2,NA,PASS
5,0,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,Pilot,NON-DETECT,Incomplete,NA,5_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv,1.337967648,0.16793,12.55,21.9,1.64,26.4,21.9,0,1,16.6,1.62,21.1,16.8,0.3,1,NA,PASS
5,0,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,Pilot,NON-DETECT,Incomplete,NA,5_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv,1.337967648,0.16793,12.55,21.9,1.73,26.6,21.9,0,2,17,1.71,20.6,16.8,0.3,2,NA,PASS
6,0,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA,NA,Pilot,NON-DETECT,Incomplete,NA,6_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv,0.666452745,0.02663,4,22,1.78,26.3,22,0.1,1,17.9,1.89,21.3,18,0.1,1,NA,PASS
