"Sample","Fly_Line","Titre","Initial_V","Time","Time_group","log_IU_fly","log_MNE","log_WOL_MNE","Replicate","TCID","IU_mL","TCID_status","MNE","SE_MNE","SE_Percent","MNE_status","IU_fly","Sample_file","WOL_MNE","WOL_SE_MNE","WOL_SE_Percent","Wol_status"
4,"Wol",1e+06,50,0,"1",NA,NA,0.021606707386932,1,NA,NA,"ND",NA,NA,NA,"ND",NA,"4_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv",1.0510096592,"0.08398","7.99",NA
5,"Wol",1e+06,50,0,"1",NA,NA,0.126445612336928,2,NA,NA,"ND",NA,NA,NA,"ND",NA,"5_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv",1.337967648,"0.16793","12.55",NA
6,"Wol",1e+06,50,0,"1",NA,NA,-0.176230639244071,3,NA,NA,"ND",NA,NA,NA,"ND",NA,"6_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv",0.6664527445,"0.02663","4",NA
10,"Wol",1e+06,50,6,"1",NA,NA,-0.0271314551454679,1,NA,NA,"ND",NA,NA,NA,"ND",NA,"10_data/raw/230811_MA_Wolbachia_Density_Pilot_b7p40.csv",0.9394389119,"0.12674","13.49",NA
11,"Wol",1e+06,50,6,"1",NA,NA,-0.0216637396078155,2,NA,NA,"ND",NA,NA,NA,"ND",NA,"11_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv",0.9513411017,"0.03801","4",NA
12,"Wol",1e+06,50,6,"1",NA,NA,0.253758734243944,3,NA,NA,"ND",NA,NA,NA,"ND",NA,"12_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",1.7937368665,"0.08874","4.95",NA
16,"Wol",1e+06,50,10,"1",NA,NA,0.332937048384059,1,NA,NA,"ND",NA,NA,NA,"ND",NA,"16_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv",2.1524697085,"0.10648","4.95",NA
17,"Wol",1e+06,50,10,"1",NA,NA,0.428518509155457,2,NA,NA,"ND",NA,NA,NA,"ND",NA,"17_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv",2.6823689248,"0.21611","8.06",NA
18,"Wol",1e+06,50,10,"1",NA,NA,0.554841798892863,3,NA,NA,"ND",NA,NA,NA,"ND",NA,"18_data/raw/2309011_MA_Wolbachia_Density_Batch7_8_b1p30T.csv",3.5879121342,"0.14335","4",NA
22,"Wol",1e+06,50,24,"1",NA,-2.31018898189508,0.742238630517299,1,NA,NA,"ND",0.0048956574,0,0,NA,NA,"22_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",5.5238087101,"0.57335","10.38",NA
23,"Wol",1e+06,50,24,"1",NA,NA,0.369641508974885,2,NA,NA,"ND",NA,NA,NA,"ND",NA,"23_data/raw/2309011_MA_Wolbachia_Density_Batch7_8_b1p30T.csv",2.3422945558,"0.13721","5.86",NA
24,"Wol",1e+06,50,24,"1",NA,-2.15987952134572,0.712896749772269,3,NA,NA,"ND",0.0069202292,4e-04,5.74,NA,NA,"24_data/raw/2309011_MA_Wolbachia_Density_Batch7_8_b1p30T.csv",5.1629360978,"0.324","6.28",NA
28,"Wol",1e+06,50,34,"1",NA,NA,0.319503398206755,1,NA,NA,"ND",NA,NA,NA,"ND",NA,"28_data/raw/2309011_MA_Wolbachia_Density_Batch7_8_b1p30T.csv",2.0869084532,"0.25014","11.99",NA
29,"Wol",1e+06,50,34,"1",2.64319792044221,-2.23829645218957,0.591546259500625,2,2.75,7760,NA,0.0057770157,0.00044,7.64,NA,439.7419728,"29_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv",3.904327678,"0.56926","14.58",NA
30,"Wol",1e+06,50,34,"1",2.89321528558526,-1.78960416230224,0.457365473813289,3,3,13800,NA,0.0162328897,0.00241,14.84,NA,782.015364,"30_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv",2.8665892891,"0.11453","4",NA
34,"Wol",1e+06,50,48,"1",2.59319118378591,-1.51072403667289,0.307771373650853,1,2.7,6916,NA,0.0308514772,0.00354,11.46,NA,391.91436648,"34_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv",2.0312873955,"0.119","5.86",NA
35,"Wol",1e+06,50,48,"1",2.64319792044221,-2.41331188545283,0.807681617084968,2,2.75,7760,NA,0.0038608961,1e-04,2.47,NA,439.7419728,"35_data/raw/2309011_MA_Wolbachia_Density_Batch6_b1p27T.csv",6.422167332,"0.20151","3.14",NA
36,"Wol",1e+06,50,48,"1",3.76827654897696,-1.08773393045713,0.104961227540276,3,3.875,103500,NA,0.0817082802,0.01034,12.65,NA,5865.11523,"36_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv",1.2733893917,"0.23973","18.83",NA
40,"Wol",1e+06,50,58,"2",NA,-1.79704354302178,0.514262809677136,1,NA,NA,"ND",0.0159571915,0.00186,11.64,NA,NA,"40_data/raw/230821_MA_Wolbachia_Density_Batch1_b1p8T.csv",3.2678552388,"0.57431","17.57",NA
41,"Wol",1e+06,50,58,"2",5.39322094110033,0.409719101402194,0.391319132472044,2,5.5,4364000,NA,2.5687338065,0.43634,16.99,NA,247298.19192,"41_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv",2.4621762197,"0.09837","4",NA
