"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","230821_MA_Wolbachia_Density_Batch1_b1p8T.rex"
"Date","8/22/2023"
"Time","10:36:34 AM"

"Operator","tom"
"Run Id",""
"Notes","batch 1"
"Machine Serial No","0417101"

"Channel","Gain"
"Green","10"
"Yellow","5"

"Channel","Threshold"
"Melt A.Green (Page 1)","0"
"Cycling A.Green (Page 1)",""
"Cycling A.Green (Page 1)",""

"Melt analysis of Melt A.Green (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","12615680","118-rpl32","","67.7","80.0","87.2","","",""
"2","12615680","118-rpl32","","68.0","76.3","81.0","87.0","",""
"3","12615680","66-rpl32","","69.5","76.5","79.0","87.5","92.7",""
"4","12615680","66-rpl32","","69.5","78.5","87.3","","",""
"5","12615680","36-rpl32","","68.5","78.3","87.5","","",""
"6","12615680","36-rpl32","","69.3","77.3","81.0","87.5","",""
"7","12615680","16-rpl32","","69.5","76.3","87.3","","",""
"8","12615680","16-rpl32","","68.2","76.8","80.5","87.5","92.5",""
"9","12615680","132-rpl32","","68.5","77.8","87.0","93.2","",""
"10","12615680","132-rpl32","","67.5","70.2","79.8","87.2","92.0",""
"11","12615680","150-rpl32","","69.8","75.5","87.0","","",""
"12","12615680","150-rpl32","","70.5","76.5","87.0","","",""
"13","12615680","40-rpl32","","67.5","82.3","87.5","","",""
"14","12615680","40-rpl32","","66.2","69.8","75.2","79.5","87.5","92.5"
"15","12615680","120-rpl32","","68.0","78.5","87.3","","",""
"16","12615680","120-rpl32","","68.8","79.0","87.3","","",""
"17","12615680","149-rpl32","","67.5","78.8","87.3","92.2","93.2",""
"18","12615680","149-rpl32","","68.8","78.3","87.2","93.7","",""
"19","12615680","161-rpl32","","66.7","80.2","87.2","92.0","",""
"20","12615680","161-rpl32","","67.5","87.3","","","",""
"33","12615680","POS-rpl32","","69.0","77.5","87.5","","",""
"34","12615680","POS-rpl32","","69.2","78.7","83.5","87.5","",""
"35","12615680","NTC-rpl32","","66.5","71.0","75.3","78.5","82.5","86.5"
"36","12615680","NTC-rpl32","","67.5","78.8","82.5","87.2","92.8",""
"37","225","POS-WOL","","68.2","78.0","82.8","85.2","89.5",""
"38","225","POS-WOL","","67.0","78.0","83.0","85.5","93.0",""
"39","225","NTC-WOL","","68.0","72.7","76.7","84.5","88.5","92.3"
"40","225","NTC-WOL","","68.2","73.0","80.3","88.0","",""
"41","225","118-WOL","","69.2","77.7","","","",""
"42","225","118-WOL","","66.5","71.3","77.2","80.8","87.2","92.5"
"43","225","66-WOL","","68.8","73.0","77.7","82.8","88.2","92.8"
"44","225","66-WOL","","68.5","77.5","84.0","91.2","",""
"45","225","36-WOL","","66.8","78.0","83.2","84.7","88.0","93.0"
"46","225","36-WOL","","68.5","78.0","83.0","86.7","90.5",""
"47","225","16-WOL","","68.7","78.0","83.2","84.5","90.0",""
"48","225","16-WOL","","70.0","72.0","78.0","","",""
"49","225","132-WOL","","69.5","73.3","77.5","89.0","",""
"50","225","132-WOL","","67.0","70.3","77.7","83.5","88.5","92.3"
"51","225","150-WOL","","66.5","70.7","77.5","83.5","87.0","93.2"
"52","225","150-WOL","","68.7","73.0","77.5","82.0","85.0","91.5"
"53","225","40-WOL","","67.5","78.0","82.8","85.5","93.3",""
"54","225","40-WOL","","69.7","78.0","","","",""
"55","225","120-WOL","","69.3","78.0","82.8","88.3","",""
"56","225","120-WOL","","69.0","78.0","","","",""
"57","225","149-WOL","","69.0","77.7","93.3","","",""
"58","225","149-WOL","","68.5","77.7","85.5","89.5","",""
"59","225","161-WOL","","69.5","78.0","82.8","85.0","87.5","93.7"
"60","225","161-WOL","","68.8","72.5","77.5","83.7","86.5","91.5"



"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (copies/ul)","Calc Conc (copies/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","12615680","118-rpl32","Unknown","","","","","","","","","",""
"2","12615680","118-rpl32","Unknown","","","","","","","","","",""
"3","12615680","66-rpl32","Unknown","","","","","","","","","",""
"4","12615680","66-rpl32","Unknown","","","","","","","","","",""
"5","12615680","36-rpl32","Unknown","","","","","","","","","",""
"6","12615680","36-rpl32","Unknown","","","","","","","","","",""
"7","12615680","16-rpl32","Unknown","","","","","","","","","",""
"8","12615680","16-rpl32","Unknown","","","","","","","","","",""
"9","12615680","132-rpl32","Unknown","","","","","","","","","",""
"10","12615680","132-rpl32","Unknown","","","","","","","","","",""
"11","12615680","150-rpl32","Unknown","","","","","","","","","",""
"12","12615680","150-rpl32","Unknown","","","","","","","","","",""
"13","12615680","40-rpl32","Unknown","","","","","","","","","",""
"14","12615680","40-rpl32","Unknown","","","","","","","","","",""
"15","12615680","120-rpl32","Unknown","","","","","","","","","",""
"16","12615680","120-rpl32","Unknown","","","","","","","","","",""
"17","12615680","149-rpl32","Unknown","","","","","","","","","",""
"18","12615680","149-rpl32","Unknown","","","","","","","","","",""
"19","12615680","161-rpl32","Unknown","","","","","","","","","",""
"20","12615680","161-rpl32","Unknown","","","","","","","","","",""
"33","12615680","POS-rpl32","Unknown","","","","","","","","","",""
"34","12615680","POS-rpl32","Unknown","","","","","","","","","",""
"35","12615680","NTC-rpl32","Unknown","","","","","","","","","",""
"36","12615680","NTC-rpl32","Unknown","","","","","","","","","",""
"37","225","POS-WOL","Unknown","","","","","","","","","",""
"38","225","POS-WOL","Unknown","","","","","","","","","",""
"39","225","NTC-WOL","Unknown","","","","","","","","","",""
"40","225","NTC-WOL","Unknown","","","","","","","","","",""
"41","225","118-WOL","Unknown","","","","","","","","","",""
"42","225","118-WOL","Unknown","","","","","","","","","",""
"43","225","66-WOL","Unknown","","","","","","","","","",""
"44","225","66-WOL","Unknown","","","","","","","","","",""
"45","225","36-WOL","Unknown","","","","","","","","","",""
"46","225","36-WOL","Unknown","","","","","","","","","",""
"47","225","16-WOL","Unknown","","","","","","","","","",""
"48","225","16-WOL","Unknown","","","","","","","","","",""
"49","225","132-WOL","Unknown","","","","","","","","","",""
"50","225","132-WOL","Unknown","","","","","","","","","",""
"51","225","150-WOL","Unknown","","","","","","","","","",""
"52","225","150-WOL","Unknown","","","","","","","","","",""
"53","225","40-WOL","Unknown","","","","","","","","","",""
"54","225","40-WOL","Unknown","","","","","","","","","",""
"55","225","120-WOL","Unknown","","","","","","","","","",""
"56","225","120-WOL","Unknown","","","","","","","","","",""
"57","225","149-WOL","Unknown","","","","","","","","","",""
"58","225","149-WOL","Unknown","","","","","","","","","",""
"59","225","161-WOL","Unknown","","","","","","","","","",""
"60","225","161-WOL","Unknown","","","","","","","","","",""
"1-20, 33-60","16777215","RPL","Group","","","","","","","","","",""



"Comparative Quantitation analysis of Cycling A.Green (Page 1)"

"No.","Name","Take Off","Amplification","2nd Deriv. Max","Rep. Takeoff","Rep. Takeoff (Std. Dev.)",
"1","118-rpl32","33.4","1.71","36.40","33.3","0.2",
"2","118-rpl32","33.1","1.63","36.40","","",
"3","66-rpl32","23.0","1.59","27.80","23.0","0.1",
"4","66-rpl32","22.9","1.66","27.60","","",
"5","36-rpl32","21.8","1.76","26.10","21.8","0.0",
"6","36-rpl32","21.8","1.64","26.60","","",
"7","16-rpl32","22.0","1.69","26.40","22.1","0.1",
"8","16-rpl32","22.2","1.63","26.90","","",
"9","132-rpl32","27.1","1.63","31.40","27.1","0.1",
"10","132-rpl32","27.0","1.65","31.60","","",
"11","150-rpl32","30.8","1.74","35.10","30.5","0.5",
"12","150-rpl32","30.1","1.66","34.80","","",
"13","40-rpl32","22.2","1.66","26.90","22.5","0.4",
"14","40-rpl32","22.8","1.61","27.30","","",
"15","120-rpl32","26.9","1.63","31.60","26.9","0.1",
"16","120-rpl32","26.8","1.78","31.40","","",
"17","149-rpl32","22.4","1.73","27.30","22.3","0.1",
"18","149-rpl32","22.2","1.77","26.60","","",
"19","161-rpl32","27.5","1.62","32.10","27.3","0.4",
"20","161-rpl32","27.0","1.64","31.80","","",
"33","POS-rpl32","26.7","1.68","31.30","27.0","0.4",
"34","POS-rpl32","27.2","1.70","31.80","","",
"35","NTC-rpl32","30.4","1.17","31.60","31.8","2.0",
"36","NTC-rpl32","33.2","1.82","36.30","","",
"37","POS-WOL","25.8","1.40","32.10","25.1","1.1",
"38","POS-WOL","24.3","1.52","30.10","","",
"39","NTC-WOL","9.0","1.00","10.10","12.3","4.7",
"40","NTC-WOL","15.6","0.74","17.10","","",
"41","118-WOL","31.6","1.51","36.10","26.1","7.8",
"42","118-WOL","20.6","0.44","21.80","","",
"43","66-WOL","17.2","1.66","21.60","23.9","9.4",
"44","66-WOL","30.5","1.36","36.10","","",
"45","36-WOL","17.1","1.58","22.30","16.8","0.4",
"46","36-WOL","16.5","1.77","20.80","","",
"47","16-WOL","16.2","1.81","20.60","16.2","0.0",
"48","16-WOL","16.2","1.85","20.10","","",
"49","132-WOL","24.5","1.84","28.10","24.4","0.2",
"50","132-WOL","24.2","1.73","28.10","","",
"51","150-WOL","23.3","1.80","27.80","22.9","0.6",
"52","150-WOL","22.5","1.69","26.40","","",
