"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","2309011_MA_Wolbachia_Density_Batch5_b1p26T.rex"
"Date","9/11/2023"
"Time","2:17:45 PM"

"Operator","Angelique"
"Run Id",""
"Notes",""
"Machine Serial No","0417101"

"Channel","Gain"
"Green","10"
"Yellow","5"

"Channel","Threshold"
"Melt A.Green (Page 1)","0"
"Cycling A.Green (Page 1)",""

"Melt analysis of Melt A.Green (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","16744448","52-rpl32","","68.8","78.8","87.5","","","",""
"2","16744448","52-rpl32","","68.2","73.5","80.0","87.5","","",""
"3","16744448","152-rpl32","","69.5","74.5","87.5","92.8","","",""
"4","16744448","152-rpl32","","69.7","76.0","81.3","87.5","","",""
"5","16744448","146-rpl32","","69.7","79.2","87.5","","","",""
"6","16744448","146-rpl32","","70.7","75.5","81.5","87.3","","",""
"7","16744448","59-rpl32","","69.0","77.8","87.5","92.8","","",""
"8","16744448","59-rpl32","","68.5","77.8","87.5","92.5","","",""
"9","16744448","154-rpl32","","68.5","78.5","87.3","92.7","","",""
"10","16744448","154-rpl32","","68.0","81.5","87.3","92.3","","",""
"11","16744448","137-rpl32","","68.7","80.0","87.5","93.0","","",""
"12","16744448","137-rpl32","","69.7","76.8","83.2","87.5","","",""
"13","16744448","119-rpl32","","67.0","74.5","82.8","87.3","","",""
"14","16744448","119-rpl32","","69.7","79.7","87.5","92.5","","",""
"15","16744448","106-rpl32","","70.3","75.0","79.3","87.2","","",""
"16","16744448","106-rpl32","","69.8","78.0","87.3","","","",""
"17","16744448","58-rpl32","","67.3","69.5","74.8","79.8","87.2","91.8",""
"18","16744448","58-rpl32","","78.5","87.2","","","","",""
"19","16744448","78-rpl32","","68.5","75.7","80.5","83.2","87.8","",""
"20","16744448","78-rpl32","","87.2","","","","","",""
"21","16744448","65-rpl32","","70.2","77.2","87.2","","","",""
"22","16744448","65-rpl32","","68.5","76.5","87.3","92.0","","",""
"23","16744448","71-rpl32","","69.8","75.8","87.2","","","",""
"24","16744448","71-rpl32","","69.0","76.3","87.2","91.5","","",""
"33","16744448","POS-rpl32","","70.0","82.5","87.5","","","",""
"34","16744448","POS-rpl32","","70.0","77.0","87.5","","","",""
"35","16744448","NTC-rpl32","","75.8","77.5","80.5","87.0","90.5","92.3",""
"36","16744448","NTC-rpl32","","67.0","70.2","75.3","81.0","85.5","88.3","93.0"
"37","8388736","POS-WOL","","68.5","78.2","82.8","92.0","","",""
"38","8388736","POS-WOL","","70.0","78.2","83.0","84.5","88.5","",""
"39","8388736","NTC-WOL","","66.5","78.0","82.5","89.7","","",""
"40","8388736","NTC-WOL","","66.0","73.8","82.5","86.3","90.8","",""
"41","8388736","52-WOL","","70.7","78.0","","","","",""
"42","8388736","52-WOL","","67.0","78.0","82.8","85.2","87.5","92.7",""
"43","8388736","152-WOL","","69.3","77.8","82.8","86.8","91.2","",""
"44","8388736","152-WOL","","68.5","77.8","82.8","84.7","87.5","93.2",""
"45","8388736","146-WOL","","70.3","77.8","","","","",""
"46","8388736","146-WOL","","69.7","77.7","","","","",""
"47","8388736","59-WOL","","69.8","78.0","83.0","88.3","","",""
"48","8388736","59-WOL","","68.2","78.0","84.8","90.5","","",""
"49","8388736","154-WOL","","69.0","71.0","78.0","82.8","86.0","91.0",""
"50","8388736","154-WOL","","69.0","78.0","82.7","84.5","87.2","90.0",""
"51","8388736","137-WOL","","68.3","78.0","83.0","87.5","92.2","",""
"52","8388736","137-WOL","","69.0","78.0","83.0","85.0","91.0","",""
"53","8388736","119-WOL","","69.7","78.0","","","","",""
"54","8388736","119-WOL","","69.7","78.0","","","","",""
"55","8388736","106-WOL","","70.0","77.5","85.3","91.0","","",""
"56","8388736","106-WOL","","70.3","77.5","","","","",""
"57","8388736","58-WOL","","68.5","77.8","82.8","87.2","90.7","",""
"58","8388736","58-WOL","","67.5","77.7","84.7","87.7","","",""
"59","8388736","78-WOL","","69.2","78.0","84.7","89.3","","",""
"60","8388736","78-WOL","","71.2","78.0","","","","",""
"61","8388736","65-WOL","","67.8","72.8","77.7","83.0","89.0","",""
"62","8388736","65-WOL","","69.5","77.7","83.0","86.5","","",""
"63","8388736","71-WOL","","69.7","77.7","93.7","","","",""
"64","8388736","71-WOL","","68.0","77.5","85.0","88.5","","",""



"Comparative Quantitation analysis of Cycling A.Green (Page 1)"

"No.","Name","Take Off","Amplification","2nd Deriv. Max","Rep. Takeoff","Rep. Takeoff (Std. Dev.)",
"1","52-rpl32","24.3","1.63","28.60","24.5","0.2",
"2","52-rpl32","24.6","1.61","29.10","","",
"3","152-rpl32","20.3","1.66","24.60","20.4","0.1",
"4","152-rpl32","20.5","1.71","24.90","","",
"5","146-rpl32","26.2","1.69","30.60","26.2","0.0",
"6","146-rpl32","26.2","1.68","30.90","","",
"7","59-rpl32","25.1","1.79","29.90","25.1","0.1",
"8","59-rpl32","25.0","1.73","29.60","","",
"9","154-rpl32","29.8","1.68","34.40","29.8","0.1",
"10","154-rpl32","29.7","1.64","34.10","","",
"11","137-rpl32","23.6","1.67","28.10","23.7","0.1",
"12","137-rpl32","23.7","1.66","28.10","","",
"13","119-rpl32","24.1","1.27","28.90","23.6","0.8",
"14","119-rpl32","23.0","1.65","27.60","","",
"15","106-rpl32","24.8","1.66","29.40","24.9","0.1",
"16","106-rpl32","25.0","1.71","29.60","","",
"17","58-rpl32","25.0","1.74","29.10","25.1","0.1",
"18","58-rpl32","25.1","1.64","29.60","","",
"19","78-rpl32","33.8","0.57","34.90","33.3","0.8",
"20","78-rpl32","32.7","1.75","36.30","","",
"21","65-rpl32","24.7","1.64","29.60","25.1","0.6",
"22","65-rpl32","25.5","1.69","30.10","","",
"23","71-rpl32","26.1","1.60","30.90","26.3","0.3",
"24","71-rpl32","26.5","1.61","30.90","","",
"33","POS-rpl32","26.2","1.55","31.10","26.6","0.5",
"34","POS-rpl32","26.9","1.83","31.10","","",
"35","NTC-rpl32","10.9","0.86","12.10","23.1","17.3",
"36","NTC-rpl32","35.3","0.92","36.30","","",
"37","POS-WOL","21.9","1.70","25.90","22.0","0.1",
"38","POS-WOL","22.1","1.76","26.10","","",
"39","NTC-WOL","10.1","0.03","11.10","18.6","12.0",
"40","NTC-WOL","27.1","0.47","28.10","","",
"41","52-WOL","17.9","1.78","21.60","17.9","0.0",
"42","52-WOL","17.9","1.73","21.90","","",
"43","152-WOL","14.8","1.75","19.10","15.0","0.2",
"44","152-WOL","15.1","1.72","19.10","","",
"45","146-WOL","19.5","1.69","23.80","19.5","0.1",
"46","146-WOL","19.4","1.73","23.30","","",
"47","59-WOL","17.5","1.75","21.40","17.7","0.2",
"48","59-WOL","17.8","1.71","21.80","","",
"49","154-WOL","23.1","1.88","26.90","23.2","0.1",
"50","154-WOL","23.3","1.75","27.10","","",
"51","137-WOL","17.3","1.71","21.40","17.4","0.1",
"52","137-WOL","17.5","1.78","21.60","","",
"53","119-WOL","16.7","1.72","20.80","16.9","0.2",
"54","119-WOL","17.0","1.71","21.10","","",
"55","106-WOL","17.7","1.71","21.90","18.0","0.4",
"56","106-WOL","18.2","1.87","22.10","","",
"57","58-WOL","19.0","1.84","22.90","19.0","0.0",
"58","58-WOL","19.0","1.81","23.60","","",
"59","78-WOL","25.4","1.83","29.10","25.3","0.1",
"60","78-WOL","25.2","1.75","29.60","","",
"61","65-WOL","18.8","1.80","23.10","18.9","0.1",
"62","65-WOL","19.0","1.76","23.30","","",
"63","71-WOL","20.3","1.68","24.10","20.4","0.1",
"64","71-WOL","20.4","1.75","24.30","","",
"1-24, 33-64","RPL","","","","22.4","5.1",



