"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","2309011_MA_Wolbachia_Density_Batch6_b1p27T.rex"
"Date","9/11/2023"
"Time","3:50:32 PM"

"Operator","Angelique"
"Run Id",""
"Notes",""
"Machine Serial No","0417101"

"Channel","Gain"
"Green","10"
"Yellow","5"

"Channel","Threshold"
"Cycling A.Green (Page 1)",""
"Melt A.Green (Page 1)","0"

"Comparative Quantitation analysis of Cycling A.Green (Page 1)"

"No.","Name","Take Off","Amplification","2nd Deriv. Max","Rep. Takeoff","Rep. Takeoff (Std. Dev.)",
"1","138-rpl32","26.6","1.59","31.60","26.7","0.1",
"2","138-rpl32","26.7","1.62","31.10","","",
"3","124-rpl32","26.0","1.65","30.40","26.1","0.1",
"4","124-rpl32","26.1","1.61","30.60","","",
"5","12-rpl32","22.9","1.65","27.30","23.0","0.1",
"6","12-rpl32","23.1","1.63","27.90","","",
"7","148-rpl32","29.3","1.61","34.10","29.5","0.2",
"8","148-rpl32","29.6","1.68","34.10","","",
"9","90-rpl32","27.1","1.59","31.80","27.3","0.3",
"10","90-rpl32","27.5","1.98","31.90","","",
"11","96-rpl32","25.6","1.63","30.10","25.7","0.1",
"12","96-rpl32","25.7","1.65","30.10","","",
"13","35-rpl32","24.5","1.71","29.30","24.5","0.0",
"14","35-rpl32","24.5","1.64","29.10","","",
"15","22-rpl32","22.6","1.70","27.10","22.8","0.3",
"16","22-rpl32","23.0","1.68","27.80","","",
"17","144-rpl32","23.9","1.50","28.40","23.0","1.3",
"18","144-rpl32","22.0","1.80","26.10","","",
"19","72-rpl32","24.4","1.61","29.10","24.5","0.1",
"20","72-rpl32","24.5","1.63","29.40","","",
"21","113-rpl32","29.0","1.60","33.60","28.9","0.1",
"22","113-rpl32","28.8","1.62","33.10","","",
"33","POS-rpl32","29.1","1.70","34.10","29.3","0.3",
"34","POS-rpl32","29.5","1.75","33.60","","",
"35","NTC-rpl32","9.1","0.78","10.10","21.5","17.5",
"36","NTC-rpl32","33.9","1.41","37.10","","",
"37","POS-WOL","22.2","1.74","26.10","22.2","0.1",
"38","POS-WOL","22.1","1.68","26.60","","",
"39","NTC-WOL","35.4","0.90","36.40","34.8","0.8",
"40","NTC-WOL","34.2","1.32","36.40","","",
"41","138-WOL","19.7","1.75","23.90","19.8","0.1",
"42","138-WOL","19.8","1.74","23.90","","",
"43","124-WOL","19.8","1.72","23.80","19.9","0.1",
"44","124-WOL","19.9","1.79","23.90","","",
"45","12-WOL","17.2","1.87","21.10","17.2","0.0",
"46","12-WOL","17.2","1.77","21.10","","",
"47","148-WOL","23.7","1.75","27.40","23.9","0.3",
"48","148-WOL","24.1","1.75","28.10","","",
"49","90-WOL","18.8","1.71","23.10","18.9","0.1",
"50","90-WOL","19.0","1.71","23.10","","",
"51","96-WOL","18.6","1.79","22.80","18.7","0.1",
"52","96-WOL","18.7","1.73","22.40","","",
"53","35-WOL","16.4","1.67","20.80","16.4","0.1",
"54","35-WOL","16.3","1.70","20.60","","",
"55","22-WOL","15.2","1.88","19.10","15.3","0.1",
"56","22-WOL","15.3","1.76","19.10","","",
"57","144-WOL","16.3","1.70","20.30","16.2","0.2",
"58","144-WOL","16.0","1.73","20.40","","",
"59","72-WOL","16.6","1.72","20.80","16.5","0.1",
"60","72-WOL","16.4","1.77","20.60","","",
"61","113-WOL","19.9","1.71","24.30","20.0","0.1",
"62","113-WOL","20.1","1.89","24.30","","",
"1-22, 33-62","RPL","","","","22.8","5.5",



"Melt analysis of Melt A.Green (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","16744448","138-rpl32","","71.5","78.0","87.5","","",""
"2","16744448","138-rpl32","","69.5","78.5","87.5","","",""
"3","16744448","124-rpl32","","68.7","72.3","87.5","","",""
"4","16744448","124-rpl32","","70.8","77.5","80.5","87.5","",""
"5","16744448","12-rpl32","","80.8","87.3","","","",""
"6","16744448","12-rpl32","","67.7","71.5","81.0","87.3","",""
"7","16744448","148-rpl32","","67.3","79.3","87.5","","",""
"8","16744448","148-rpl32","","69.0","78.2","87.2","","",""
"9","16744448","90-rpl32","","70.5","78.0","87.0","","",""
"10","16744448","90-rpl32","","69.0","87.2","92.3","","",""
"11","16744448","96-rpl32","","67.2","70.3","78.7","87.3","93.0",""
"12","16744448","96-rpl32","","70.2","78.5","87.5","","",""
"13","16744448","35-rpl32","","70.2","87.3","","","",""
"14","16744448","35-rpl32","","70.0","77.8","87.2","","",""
"15","16744448","22-rpl32","","70.2","78.7","87.2","","",""
"16","16744448","22-rpl32","","70.3","77.8","87.2","","",""
"17","16744448","144-rpl32","","79.8","87.3","","","",""
"18","16744448","144-rpl32","","69.5","74.5","78.7","87.3","92.7",""
"19","16744448","72-rpl32","","67.5","70.2","78.5","87.3","92.8",""
"20","16744448","72-rpl32","","69.2","80.3","87.3","93.3","",""
"21","16744448","113-rpl32","","68.3","87.2","92.0","","",""
"22","16744448","113-rpl32","","67.0","76.5","87.0","92.0","",""
"33","16744448","POS-rpl32","","68.5","78.5","81.8","87.5","92.3",""
"34","16744448","POS-rpl32","","69.5","77.0","87.5","","",""
"35","16744448","NTC-rpl32","","73.7","79.0","86.0","88.3","",""
"36","16744448","NTC-rpl32","","71.2","77.7","84.5","89.8","",""
"37","8388736","POS-WOL","","67.3","70.2","78.0","82.8","89.8",""
"38","8388736","POS-WOL","","68.3","71.7","78.2","82.8","85.5","91.2"
"39","8388736","NTC-WOL","","75.0","82.5","86.0","91.2","",""
"40","8388736","NTC-WOL","","75.7","","","","",""
"41","8388736","138-WOL","","69.0","78.0","","","",""
"42","8388736","138-WOL","","71.2","78.2","83.0","85.0","91.2",""
"43","8388736","124-WOL","","69.5","78.2","","","",""
"44","8388736","124-WOL","","67.2","78.0","83.0","84.7","91.5",""
"45","8388736","12-WOL","","67.5","77.8","82.8","84.5","89.5","93.3"
"46","8388736","12-WOL","","66.8","77.8","83.0","85.2","90.2",""
"47","8388736","148-WOL","","78.0","","","","",""
"48","8388736","148-WOL","","67.5","71.0","78.0","82.8","87.3","90.8"
"49","8388736","90-WOL","","69.3","77.7","","","",""
"50","8388736","90-WOL","","72.2","77.5","","","",""
"51","8388736","96-WOL","","69.0","78.0","83.0","87.5","",""
"52","8388736","96-WOL","","66.0","78.0","84.2","89.2","92.5",""
"53","8388736","35-WOL","","70.8","77.7","","","",""
"54","8388736","35-WOL","","70.5","77.7","84.3","90.5","",""
"55","8388736","22-WOL","","70.3","77.5","","","",""
"56","8388736","22-WOL","","69.3","77.5","","","",""
"57","8388736","144-WOL","","66.5","71.0","78.0","82.7","87.5","93.8"
"58","8388736","144-WOL","","68.7","78.0","83.0","86.0","90.5",""
"59","8388736","72-WOL","","68.8","77.8","82.8","86.7","90.5",""
"60","8388736","72-WOL","","67.7","70.5","77.8","83.0","88.0","91.3"
"61","8388736","113-WOL","","69.5","77.8","","","",""
"62","8388736","113-WOL","","69.0","77.7","82.8","85.5","89.5",""



