Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
4-rpl32,22.2,1.69,26.6,22.3,0.1
4-rpl32,22.4,1.67,27.1,,
5-rpl32,21.9,1.64,26.4,21.9,0
5-rpl32,21.9,1.73,26.6,,
6-rpl32,22,1.78,26.3,22,0.1
6-rpl32,21.9,1.69,26.3,,
10-rpl32,22.3,1.68,26.9,22.2,0.1
10-rpl32,22.1,1.82,26.6,,
4-WOL,17.6,1.72,21.1,17.5,0.1
4-WOL,17.4,1.7,21.6,,
5-WOL,16.6,1.62,21.1,16.8,0.3
5-WOL,17,1.71,20.6,,
6-WOL,17.9,1.89,21.3,18,0.1
6-WOL,18,1.71,22.1,,
10-WOL,17.4,1.65,21.3,17.6,0.3
10-WOL,17.8,1.76,21.8,,
