Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
89-rpl32,24.4,1.63,29.1,24.4,0.1
89-rpl32,24.3,1.66,28.8,,
29-rpl32,22.9,1.68,27.3,23.1,0.2
29-rpl32,23.2,1.71,27.4,,
88-rpl32,23.9,1.66,28.6,24.1,0.3
88-rpl32,24.3,1.74,28.9,,
142-rpl32,30.6,1.72,35.1,31.1,0.6
142-rpl32,31.5,1.64,36.1,,
155-rpl32,28.7,1.69,33.3,29,0.4
155-rpl32,29.3,1.62,33.9,,
60-rpl32,22.5,1.63,27.1,22.5,0.1
60-rpl32,22.4,1.72,26.9,,
151-rpl32,33.5,1.79,36.4,33.5,0
151-rpl32,33.5,1.78,36.4,,
94-rpl32,24.9,1.65,29.4,24.9,0
94-rpl32,24.9,1.7,29.1,,
107-rpl32,30.2,1.78,34.3,30,0.4
107-rpl32,29.7,1.63,34.1,,
125-rpl32,21.1,0.51,22.1,27.2,8.6
125-rpl32,33.3,1.92,36.4,,
136-rpl32,23.1,0.91,24.1,28.4,7.4
136-rpl32,33.6,1.85,36.4,,
POS-rpl32,26.9,1.64,31.6,27.4,0.7
POS-rpl32,27.9,1.62,32.4,,
NTC-rpl32,15.1,0.65,16.1,23.4,11.7
NTC-rpl32,31.6,0.48,33.8,,
POS-WOL,21.3,1.73,25.3,21.4,0.1
POS-WOL,21.4,1.75,25.3,,
NTC-WOL,30.1,0.42,31.1,29.7,0.6
NTC-WOL,29.3,0.57,30.3,,
89-WOL,18.5,1.71,22.6,18.7,0.2
89-WOL,18.8,1.68,22.4,,
29-WOL,15.8,1.65,20.1,16,0.3
29-WOL,16.2,2.03,20.1,,
88-WOL,16.4,1.7,20.6,16.6,0.2
88-WOL,16.7,1.87,20.4,,
142-WOL,24.2,1.72,28.1,24.2,0.1
142-WOL,24.1,1.86,28.6,,
155-WOL,20.5,1.7,24.6,20.7,0.2
155-WOL,20.8,1.74,24.9,,
60-WOL,15.4,1.64,19.6,15.4,0.1
60-WOL,15.3,1.79,19.9,,
151-WOL,25.5,1.68,29.9,25.7,0.2
151-WOL,25.8,1.73,30.1,,
94-WOL,18.6,1.8,22.6,18.6,0.1
94-WOL,18.5,1.8,22.1,,
107-WOL,23.4,1.79,27.6,23.5,0.1
107-WOL,23.6,1.87,27.3,,
125-WOL,27.9,1.72,31.6,28.4,0.7
125-WOL,28.9,1.81,32.6,,
136-WOL,30.5,1.78,34.4,30,0.8
136-WOL,29.4,1.79,33.1,,
