Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
77-rpl32,23.6,1.61,28.3,24,0.5
77-rpl32,24.3,1.7,29.1,,
160-rpl32,28,1.67,32.6,27.9,0.2
160-rpl32,27.7,1.73,32.3,,
147-rpl32,32.7,1.69,36.3,32.3,0.6
147-rpl32,31.9,1.68,36.1,,
18-rpl32,23.5,1.68,28.3,23.5,0.1
18-rpl32,23.4,1.69,28.1,,
53-rpl32,24.9,1.63,29.6,25,0.1
53-rpl32,25,1.71,29.6,,
30.1-rpl32,27.1,0.32,28.1,25,3
30.1-rpl32,22.9,1.74,27.1,,
28.1-rpl32,23.6,1.68,28.6,23.8,0.2
28.1-rpl32,23.9,1.77,28.6,,
24.1-rpl32,22.6,1.69,27.3,22.6,0
24.1-rpl32,22.6,1.63,27.1,,
23.1-rpl32,21.8,1.66,26.3,21.7,0.1
23.1-rpl32,21.6,1.72,26.3,,
47.1-rpl32,24.2,1.65,28.8,24.4,0.2
47.1-rpl32,24.5,1.61,29.1,,
101-rpl32,30.5,1.65,34.4,30.8,0.4
101-rpl32,31,1.62,35.6,,
156.1-rpl32,25.9,1.72,30.4,25.8,0.1
156.1-rpl32,25.7,1.76,30.1,,
159.1-rpl32,21.5,1.55,26.1,21.5,0
159.1-rpl32,21.5,1.63,26.1,,
T-rpl32,17.5,1.69,22.4,17.5,0.1
T-rpl32,17.4,1.65,22.1,,
POS-rpl32,28.8,1.64,33.1,28.8,0
POS-rpl32,28.8,1.71,33.3,,
NTC-rpl32,34.6,0.64,35.8,28.5,8.7
NTC-rpl32,22.3,1.02,23.3,,
POS-WOL,23.8,1.77,28.3,23.8,0.1
POS-WOL,23.7,1.74,27.6,,
NTC-WOL,24.1,0.25,25.1,23.5,0.8
NTC-WOL,22.9,0.6,24.6,,
77-WOL,16.9,1.72,20.9,17,0.1
77-WOL,17,1.77,21.1,,
160-WOL,23.2,1.74,27.6,23.1,0.1
160-WOL,23,1.76,27.4,,
147-WOL,25.7,1.64,30.1,25.5,0.3
147-WOL,25.3,1.66,29.9,,
18-WOL,16.5,1.67,21.1,16.5,0.1
18-WOL,16.4,1.71,20.6,,
53-WOL,18.5,1.78,22.9,18.7,0.2
53-WOL,18.8,1.83,23.3,,
30.1-WOL,17.2,1.77,21.4,17.3,0.1
30.1-WOL,17.3,1.8,21.8,,
28.1-WOL,17.7,1.75,21.8,17.6,0.2
28.1-WOL,17.4,1.66,21.9,,
24.1-WOL,15.3,1.77,19.6,15.2,0.1
24.1-WOL,15.1,1.68,19.6,,
23.1-WOL,15.8,1.73,20.1,15.8,0.1
23.1-WOL,15.7,1.8,20.1,,
47.1-WOL,16.8,1.76,21.1,16.9,0.1
47.1-WOL,16.9,1.71,21.1,,
101-WOL,26.5,1.69,31.8,26.7,0.3
101-WOL,26.9,1.71,31.3,,
156.1-WOL,18.5,1.75,22.8,18.6,0.1
156.1-WOL,18.7,1.71,23.3,,
159.1-WOL,15.5,1.75,19.9,15.6,0.1
159.1-WOL,15.6,1.76,20.1,,
T-WOL,9.1,0.22,10.1,20.7,16.3
T-WOL,32.2,1.89,35.6,,
