Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
30-rpl32,23.2,1.63,27.9,23.3,0.1
30-rpl32,23.3,1.7,27.6,,
119-rpl32,23.9,1.66,28.4,23.9,0
119-rpl32,23.9,1.7,28.6,,
125-rpl32,33.4,1.77,36.4,33.2,0.3
125-rpl32,33,1.76,36.4,,
64-rpl32,24.4,1.69,29.1,24.4,0
64-rpl32,24.4,1.77,28.9,,
65-rpl32,25.8,1.69,30.4,25.8,0
65-rpl32,25.8,1.68,30.4,,
77-rpl32,24.3,1.66,28.9,24.2,0.1
77-rpl32,24.1,1.7,28.4,,
144-rpl32,23.1,1.66,27.4,23.2,0.1
144-rpl32,23.3,1.7,27.8,,
66-rpl32,24,1.7,28.6,24.1,0.1
66-rpl32,24.2,1.74,28.6,,
161-rpl32,28.1,1.69,32.9,28,0.2
161-rpl32,27.8,1.72,32.8,,
POS-rpl32,31.6,1.67,35.9,32,0.5
POS-rpl32,32.3,1.67,36.1,,
NTC-rpl32,6.7,-0.15,4.1,15.2,12
NTC-rpl32,23.6,-0.01,24.6,,
POS-WOL,24.8,1.81,28.8,25,0.3
POS-WOL,25.2,1.79,29.1,,
NTC-WOL,21.8,0.82,22.9,28.6,9.5
NTC-WOL,35.3,1.07,36.3,,
30-WOL,16.7,1.77,20.8,16.7,0.1
30-WOL,16.6,1.73,20.8,,
119-WOL,17.2,1.8,21.6,17.2,0.1
119-WOL,17.1,1.75,21.1,,
125-WOL,28.8,1.77,32.8,28.6,0.4
125-WOL,28.3,1.73,32.4,,
64-WOL,16.7,1.88,20.6,16.7,0.1
64-WOL,16.6,1.82,20.3,,
65-WOL,18.9,1.79,22.9,19,0.1
65-WOL,19.1,1.76,22.9,,
77-WOL,16.5,1.81,20.4,16.4,0.1
77-WOL,16.3,1.82,20.4,,
144-WOL,15.8,1.85,19.8,15.9,0.1
144-WOL,15.9,1.81,19.6,,
66-WOL,16.1,1.81,19.8,16.2,0.1
66-WOL,16.2,1.8,20.1,,
161-WOL,22.3,1.83,26.4,22.3,0
161-WOL,22.3,1.8,26.3,,
