Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
158-rpl32,26.2,1.64,30.6,26.2,0
158-rpl32,26.2,1.62,30.6,,
108-rpl32,28.7,1.71,33.3,29,0.4
108-rpl32,29.2,1.7,33.8,,
11-rpl32,23.1,1.62,28.1,23.1,0.1
11-rpl32,23,1.75,27.6,,
143-rpl32,29,1.65,33.8,28.8,0.3
143-rpl32,28.6,1.75,33.6,,
102-rpl32,30.4,1.64,35.8,30.4,0.1
102-rpl32,30.3,1.71,34.6,,
64-rpl32,24,1.65,28.6,24.4,0.5
64-rpl32,24.7,1.58,29.6,,
112-rpl32,25.5,1.69,30.4,25.4,0.1
112-rpl32,25.3,1.63,29.9,,
42-rpl32,23.3,1.65,28.1,23.2,0.1
42-rpl32,23.1,1.66,27.4,,
95-rpl32,31,1.64,35.6,30.4,0.9
95-rpl32,29.7,1.66,34.4,,
17-rpl32,23.6,1.7,28.1,23.8,0.2
17-rpl32,23.9,1.66,28.4,,
145-rpl32,30.2,1.63,35.1,30.1,0.1
145-rpl32,30,1.66,34.4,,
POS-rpl32,28.3,1.67,33.6,28.4,0.1
POS-rpl32,28.5,1.65,33.3,,
NTC-rpl32,6,0.21,6.9,12.6,9.3
NTC-rpl32,19.2,1.33,20.4,,
POS-WOL,22.5,1.66,26.9,22.8,0.4
POS-WOL,23.1,1.69,27.6,,
NTC-WOL,27.9,1.1,29.6,29.9,2.8
NTC-WOL,31.9,0.89,32.9,,
158-WOL,20,1.67,24.6,20,0.1
158-WOL,19.9,1.67,24.1,,
108-WOL,23.2,1.73,27.8,23.1,0.1
108-WOL,23,1.68,27.4,,
11-WOL,18.2,1.75,22.1,18.3,0.1
11-WOL,18.3,1.76,22.4,,
143-WOL,22.9,1.61,27.6,22.8,0.2
143-WOL,22.6,1.71,27.1,,
102-WOL,24.3,1.6,28.8,24.4,0.1
102-WOL,24.4,1.74,28.3,,
64-WOL,17.3,1.71,21.6,17.2,0.1
64-WOL,17.1,1.76,21.4,,
112-WOL,19.1,1.69,23.8,19.3,0.2
112-WOL,19.4,1.79,23.6,,
42-WOL,15.8,1.73,20.1,15.8,0
42-WOL,15.8,1.69,19.9,,
95-WOL,27.2,1.61,31.6,27.1,0.1
95-WOL,27,1.7,31.6,,
17-WOL,17.2,1.82,21.1,17.2,0.1
17-WOL,17.1,1.78,21.3,,
145-WOL,22.9,1.71,27.6,22.7,0.3
145-WOL,22.5,1.7,27.1,,
