Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
158-rpl32,23.9,1.52,29.3,24,0.1
158-rpl32,24,1.61,29.4,,
108-rpl32,27.1,1.6,32.1,27.3,0.2
108-rpl32,27.4,1.65,32.4,,
11-rpl32,21,1.54,26.3,21,0
11-rpl32,21,1.62,25.8,,
143-rpl32,26.3,1.64,31.3,26.1,0.3
143-rpl32,25.9,1.58,31.6,,
102-rpl32,27.5,1.76,32.3,27.2,0.5
102-rpl32,26.8,1.61,32.3,,
64-rpl32,22.3,1.79,26.9,22.3,0
64-rpl32,22.3,1.78,27.1,,
112-rpl32,22.9,1.68,28.1,23.1,0.3
112-rpl32,23.3,1.4,28.3,,
42-rpl32,21.2,1.72,26.1,21.1,0.1
42-rpl32,21,1.58,26.3,,
95-rpl32,29.3,1.58,34.4,28.8,0.8
95-rpl32,28.2,1.72,33.6,,
17-rpl32,21.2,1.74,27.1,21.6,0.5
17-rpl32,21.9,1.65,26.6,,
145-rpl32,28.1,1.19,33.9,28.6,0.7
145-rpl32,29.1,1.65,34.6,,
POS-rpl32,25.8,1.62,31.8,25.6,0.4
POS-rpl32,25.3,1.65,31.8,,
NTC-rpl32,33.5,0.18,36.8,29.1,6.3
NTC-rpl32,24.6,0,25.8,,
POS-WOL,20.3,1.6,25.3,20.8,0.7
POS-WOL,21.3,1.68,25.6,,
NTC-WOL,24.7,0,25.8,24.9,0.2
NTC-WOL,25,0,26.3,,
158-WOL,18.1,1.24,22.8,18.2,0.1
158-WOL,18.3,1.23,22.9,,
108-WOL,22.1,1.36,25.6,22,0.2
108-WOL,21.8,0.77,26.1,,
11-WOL,16.4,1.44,20.9,16.6,0.3
11-WOL,16.8,1.63,21.1,,
143-WOL,22.1,1.36,25.6,21.9,0.4
143-WOL,21.6,1.73,25.4,,
102-WOL,22.7,1.23,26.6,22.6,0.1
102-WOL,22.5,1.19,26.8,,
64-WOL,16,1.33,19.8,16,0
64-WOL,16,1.21,19.4,,
112-WOL,17.7,1.11,21.6,17.4,0.4
112-WOL,17.1,1.34,21.9,,
42-WOL,14.6,1.45,19.1,14.6,0.1
42-WOL,14.5,1.51,19.1,,
95-WOL,25.1,1.83,29.3,25.1,0
95-WOL,25.1,1.23,29.4,,
17-WOL,16,1.22,19.3,16,0.1
17-WOL,15.9,1.18,19.4,,
145-WOL,21.8,1.2,25.6,22,0.2
145-WOL,22.1,0.99,25.8,,
