"Sample","Approach","Filter_Reason","Progress","Take_off_rpl","Amplification_rpl","Second_Der_Max_rpl","Rep_Take_off_rpl","Std_dev_rpl","Sample_file_rpl","Gene_rpl","Sample_number_correct_rpl","Gene_formated_rpl","Tech_Rep_rpl","Take_off_WOL","Amplification_WOL","Second_Der_Max_WOL","Rep_Take_off_WOL","Std_dev_WOL","Sample_file_WOL","Gene_WOL","Sample_number_correct_WOL","Gene_formated_WOL","Tech_Rep_WOL","File","Quality_Control","Time","Line","Titre","Replicate","TCID","IU_mL","MNE","SE_MNE","SE_Percent","Fly_Line","Initial_V","IU_fly","log_IU_fly","log_MNE","Wolbacia_batch","Wolbachia_sample_order","Repeat","Progress_manual","Check_Angelique","...21","...22","...23"
70,"qPCR Original","NA and No raw data","TO BE DONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,"Wol",50,1,"NA","NA","9.4667799999999995E-4","1.1E-4","11.9","Wol",50,"NA","NA","-6.9625513320000003",8,"85","TCID NON-DETECT","Incomplete","New fly",NA,NA,NA
76,"qPCR Original","NA and No raw data","TO BE DONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,"Wol",50,1,"NA","NA","1.9757590000000001E-3","6.0000000000000002E-5","2.91","Wol",50,"NA","NA","-6.2268027010000004",1,"11","TCID NON-DETECT","Incomplete",NA,NA,NA,NA
78,"Check","NA and Take off rpl too high repeat with more concentrated sample and Amplification Efficiency (rpl) and Standard Deviation (rpl)","TO BE DONE",33.8,0.57,34.9,33.3,0.8,"78_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv","rpl",TRUE,TRUE,1,25.4,1.83,29.1,25.3,0.1,"78_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv","WOL",TRUE,TRUE,1,"data/raw/2309011","FAIL",130,"Wol",50,3,"7","138000000","4.4848581530000002","0.45014999999999999","10.039999999999999","Wol",50,"7820153.6399999997","15.87221476","1.500706868",5,"58",NA,"Incomplete",NA,NA,NA,NA
78,"Check","NA and Take off rpl too high repeat with more concentrated sample and Amplification Efficiency (rpl) and Standard Deviation (rpl)","TO BE DONE",32.7,1.75,36.3,33.3,0.8,"78_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv","rpl",TRUE,TRUE,2,25.2,1.75,29.6,25.3,0.1,"78_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv","WOL",TRUE,TRUE,2,"data/raw/2309011","FAIL",130,"Wol",50,3,"7","138000000","4.4848581530000002","0.45014999999999999","10.039999999999999","Wol",50,"7820153.6399999997","15.87221476","1.500706868",5,"58",NA,"Incomplete",NA,NA,NA,NA
82,"qPCR Original","NA and No raw data","TO BE DONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,"Wol",50,1,"3.6","54940","1.7337399E-2","1.2899999999999999E-3","7.42","Wol",50,"3113.3278329999998","8.0434474760000008","-4.0548892959999998",2,"18",NA,"Incomplete",NA,NA,NA,NA
84,"qPCR Original","NA and No raw data","TO BE DONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,"Wol",50,3,"2.6","5494","1.3641584999999999E-2","1.0399999999999999E-3","7.64","Wol",50,"311.33278330000002","5.7408623829999996","-4.2946324090000001",1,"6",NA,"Incomplete",NA,NA,NA,NA
95,"Check","NA and Take off rpl too high repeat with more concentrated sample and Standard Deviation (rpl)","TO BE DONE",31,1.64,35.6,30.4,0.9,"95_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","rpl",TRUE,TRUE,1,27.2,1.61,31.6,27.1,0.1,"95_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","WOL",TRUE,TRUE,1,"data/raw/230907","FAIL",168,"Wol",50,2,"7.1551999999999998","197300000","19.880367110000002","0.75943000000000005","3.82","Wol",50,"11180552.99","16.229686489999999","2.9897326670000002",3,"34",NA,"Incomplete",NA,NA,NA,NA
95,"Check","NA and Take off rpl too high repeat with more concentrated sample and Standard Deviation (rpl)","TO BE DONE",29.7,1.66,34.4,30.4,0.9,"95_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","rpl",TRUE,TRUE,2,27,1.7,31.6,27.1,0.1,"95_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","WOL",TRUE,TRUE,2,"data/raw/230907","FAIL",168,"Wol",50,2,"7.1551999999999998","197300000","19.880367110000002","0.75943000000000005","3.82","Wol",50,"11180552.99","16.229686489999999","2.9897326670000002",3,"34",NA,"Incomplete",NA,NA,NA,NA
100,"Check","NA and Take off rpl too high repeat with more concentrated sample","TO BE DONE",31,1.69,35.4,31,0.1,"100_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","rpl",TRUE,TRUE,1,23.6,1.67,28.1,23.6,0,"100_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","WOL",TRUE,TRUE,1,"data/raw/2309011","FAIL",178,"Wol",50,1,"6.25","24540000","8.0723560219999992","0.61673","7.64","Wol",50,"1390627.321","14.14526551","2.0884453879999998",4,"37",NA,"Incomplete",NA,NA,NA,NA
100,"Check","NA and Take off rpl too high repeat with more concentrated sample","TO BE DONE",30.9,1.69,34.6,31,0.1,"100_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","rpl",TRUE,TRUE,2,23.6,1.67,27.8,23.6,0,"100_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","WOL",TRUE,TRUE,2,"data/raw/2309011","FAIL",178,"Wol",50,1,"6.25","24540000","8.0723560219999992","0.61673","7.64","Wol",50,"1390627.321","14.14526551","2.0884453879999998",4,"37",NA,"Incomplete",NA,NA,NA,NA
