"Sample","Approach","Filter_Reason","Progress","Take_off_rpl","Amplification_rpl","Second_Der_Max_rpl","Rep_Take_off_rpl","Std_dev_rpl","Sample_file_rpl","Gene_rpl","Sample_number_correct_rpl","Gene_formated_rpl","Tech_Rep_rpl","Take_off_WOL","Amplification_WOL","Second_Der_Max_WOL","Rep_Take_off_WOL","Std_dev_WOL","Sample_file_WOL","Gene_WOL","Sample_number_correct_WOL","Gene_formated_WOL","Tech_Rep_WOL","File","Quality_Control","Time","Fly_Line","Titre","Replicate","Initial_V","TCID","IU_mL","TCID_status","MNE","SE_MNE","SE_Percent","MNE_status","IU_fly","log_MNE","log_IU_fly"
70,"qPCR Original","NA and No raw data","TO BE DONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,"Wol",1e+06,1,50,NA,NA,"ND",0.0009466782,0.00011,11.9,NA,NA,-3.02379762365236,NA
76,"qPCR Original","NA and No raw data","TO BE DONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,"Wol",1e+06,1,50,NA,NA,"ND",0.0019757589,6e-05,2.91,NA,NA,-2.70426605306219,NA
78,"Check","NA and Take off rpl too high repeat with more concentrated sample and Amplification Efficiency (rpl) and Standard Deviation (rpl)","TO BE DONE",33.8,0.57,34.9,33.3,0.8,"78_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv","rpl",TRUE,TRUE,1,25.4,1.83,29.1,25.3,0.1,"78_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv","WOL",TRUE,TRUE,1,"data/raw/2309011","FAIL",130,"Wol",1e+06,3,50,7,1.38e+08,NA,4.4848581525,0.45015,10.04,NA,7820153.64,0.651748711692103,6.89321528558526
78,"Check","NA and Take off rpl too high repeat with more concentrated sample and Amplification Efficiency (rpl) and Standard Deviation (rpl)","TO BE DONE",32.7,1.75,36.3,33.3,0.8,"78_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv","rpl",TRUE,TRUE,2,25.2,1.75,29.6,25.3,0.1,"78_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv","WOL",TRUE,TRUE,2,"data/raw/2309011","FAIL",130,"Wol",1e+06,3,50,7,1.38e+08,NA,4.4848581525,0.45015,10.04,NA,7820153.64,0.651748711692103,6.89321528558526
82,"qPCR Original","NA and No raw data","TO BE DONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,"Wol",1e+06,1,50,3.6,54940,NA,0.0173373994,0.00129,7.42,NA,3113.3278332,-1.76101604589857,3.49322485426857
84,"qPCR Original","NA and No raw data","TO BE DONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,"Wol",1e+06,3,50,2.6,5494,NA,0.0136415853,0.00104,7.64,NA,311.33278332,-1.86513515702296,2.49322485426857
95,"Check","NA and Take off rpl too high repeat with more concentrated sample and Standard Deviation (rpl)","TO BE DONE",31,1.64,35.6,30.4,0.9,"95_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","rpl",TRUE,TRUE,1,27.2,1.61,31.6,27.1,0.1,"95_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","WOL",TRUE,TRUE,1,"data/raw/230907","FAIL",168,"Wol",1e+06,2,50,7.1552,197300000,NA,19.8803671119,0.75943,3.82,NA,11180552.994,1.29842439983998,7.04846328443622
95,"Check","NA and Take off rpl too high repeat with more concentrated sample and Standard Deviation (rpl)","TO BE DONE",29.7,1.66,34.4,30.4,0.9,"95_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","rpl",TRUE,TRUE,2,27,1.7,31.6,27.1,0.1,"95_data/raw/230907_MA_Wolbachia_Density_Batch3_REDONE_b1p22T.csv","WOL",TRUE,TRUE,2,"data/raw/230907","FAIL",168,"Wol",1e+06,2,50,7.1552,197300000,NA,19.8803671119,0.75943,3.82,NA,11180552.994,1.29842439983998,7.04846328443622
100,"Check","NA and Take off rpl too high repeat with more concentrated sample","TO BE DONE",31,1.69,35.4,31,0.1,"100_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","rpl",TRUE,TRUE,1,23.6,1.67,28.1,23.6,0,"100_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","WOL",TRUE,TRUE,1,"data/raw/2309011","FAIL",178,"Wol",1e+06,1,50,6.25,24540000,NA,8.0723560223,0.61673,7.64,NA,1390627.3212,0.907000307727198,6.14321075757501
100,"Check","NA and Take off rpl too high repeat with more concentrated sample","TO BE DONE",30.9,1.69,34.6,31,0.1,"100_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","rpl",TRUE,TRUE,2,23.6,1.67,27.8,23.6,0,"100_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv","WOL",TRUE,TRUE,2,"data/raw/2309011","FAIL",178,"Wol",1e+06,1,50,6.25,24540000,NA,8.0723560223,0.61673,7.64,NA,1390627.3212,0.907000307727198,6.14321075757501
