Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
47-rpl32,18.2,1.69,22.9,18.2,0
47-rpl32,18.2,1.64,22.6,,
76-rpl32,15.6,1.72,20.1,15.6,0
76-rpl32,15.6,1.75,19.9,,
280-rpl32,19.6,1.69,24.6,19.6,0
280-rpl32,19.6,1.74,24.3,,
409-rpl32,19.7,1.66,24.1,19.7,0.1
409-rpl32,19.6,1.67,24.1,,
411-rpl32,16.3,1.65,20.8,16.4,0.1
411-rpl32,16.4,1.65,20.9,,
149-rpl32,15.5,1.77,19.9,15.4,0.1
149-rpl32,15.3,1.73,19.6,,
214-rpl32,17.4,1.74,21.6,17.5,0.1
214-rpl32,17.5,1.65,22.1,,
216-rpl32,15.6,1.72,20.3,15.7,0.1
216-rpl32,15.7,1.69,20.1,,
131-rpl32,15.7,1.68,20.1,15.9,0.2
131-rpl32,16,1.73,20.8,,
419-rpl32,19,1.7,23.6,18.9,0.2
419-rpl32,18.7,1.68,23.1,,
439-rpl32,22.8,1.66,27.1,22.8,0.1
439-rpl32,22.7,1.65,27.6,,
440-rpl32,22.3,1.59,26.8,22.3,0.1
440-rpl32,22.2,1.66,26.8,,
261-rpl32,21.2,1.72,25.6,21.2,0.1
261-rpl32,21.1,1.81,25.8,,
462-rpl32,21.2,1.67,25.6,21.2,0.1
462-rpl32,21.1,1.7,25.8,,
468-rpl32,20,1.75,24.3,19.9,0.1
468-rpl32,19.8,1.65,24.3,,
NRT R13-rpl32,25.2,0.6,28.1,23.1,3
NRT R13-rpl32,21,0.69,24.3,,
IRC,25.5,1.67,29.9,25.5,
NTC-RPL,33.2,0.5,34.3,25.5,10.9
NTC-RPL,17.8,0.57,19.1,,
IRC-WOL,19.1,1.65,23.3,19.1,
NTC-WOL,35.1,1.3,36.4,34.7,0.6
NTC-WOL,34.2,1.15,35.4,,
47-WOL,31.9,1.98,35.6,31.5,0.6
47-WOL,31.1,1.7,35.3,,
76-WOL,24,1.71,28.6,24,0.1
76-WOL,23.9,1.77,28.1,,
280-WOL,7.4,1.69,11.8,7.5,0.2
280-WOL,7.7,1.64,12.1,,
409-WOL,25.1,1.65,29.3,24.7,0.6
409-WOL,24.2,1.71,28.6,,
411-WOL,22.3,1.77,26.4,22.2,0.2
411-WOL,22,1.66,26.4,,
149-WOL,26.4,1.75,30.8,26.4,0
149-WOL,26.4,1.73,30.6,,
214-WOL,21.7,1.69,26.1,21.8,0.1
214-WOL,21.9,1.67,26.4,,
216-WOL,21,1.68,25.1,21,0
216-WOL,21,1.61,25.1,,
131-WOL,29.1,1.78,33.1,29.4,0.4
131-WOL,29.7,1.82,33.4,,
419-WOL,23.6,1.68,27.6,23.6,0
419-WOL,23.6,1.71,28.1,,
439-WOL,13.8,1.78,18.1,14.1,0.4
439-WOL,14.3,1.74,18.3,,
440-WOL,12.5,1.76,16.6,12.5,0
440-WOL,12.5,1.69,16.6,,
261-WOL,14.1,1.67,18.4,14.5,0.5
261-WOL,14.8,1.69,18.9,,
462-WOL,14.3,1.74,18.6,14.2,0.1
462-WOL,14.1,1.83,18.1,,
468-WOL,13.4,1.72,17.6,13.5,0.1
468-WOL,13.5,1.76,17.6,,
NRT R13-WOL,35.3,1.2,36.3,35.3,0
NRT R13-WOL,35.3,1.05,36.6,,
